District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 01,"Pelton, Byron",Republican,186.55,2/16/22 0:00,Signal Graphics,Sterling,CO,80751,Other,6615 ∑ Hang Cards
Senate District 01,"Pelton, Byron",Republican,10.3,2/17/22 0:00,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,"Pelton, Byron",Republican,74,2/18/22 0:00,River Station,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,74,2/22/22 0:00,River Station,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,72.56,2/24/22 0:00,River Station,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,105.93,2/24/22 0:00,Signal Graphics,Sterling,CO,80751,Other,6615 ∑ Hang Cards
Senate District 01,"Pelton, Byron",Republican,105.93,3/1/22 0:00,Signal Graphics,Sterling,CO,80751,Other,6615 ∑ Hang Cards
Senate District 01,"Pelton, Byron",Republican,78.14,3/2/22 0:00,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,72,3/2/22 0:00,River Station,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,16.3,3/4/22 0:00,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,"Pelton, Byron",Republican,99.48,3/14/22 0:00,Safeway Fuel,Greeley,CO,80634,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,102.08,3/14/22 0:00,Banners On The Cheap,Austin,TX,78758,Other,6623 ∑ Banners
Senate District 01,"Pelton, Byron",Republican,150,3/15/22 0:00,Evans Area Chamber,Evans,CO,80620,Other,6810 ∑ Registration Fees
Senate District 01,"Pelton, Byron",Republican,60,3/20/22 0:00,Yuma County Republican Central Committee,Yuma,CO,80759,Other,6810 ∑ Registration Fees
Senate District 01,"Pelton, Byron",Republican,82.3,3/20/22 0:00,Cenex,Holyoke,CO,80734,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,179,3/23/22 0:00,Prairie Mountain Media,Boulder,CO,80301,Other,6830 ∑ Advertising Expense
Senate District 01,"Pelton, Byron",Republican,74,3/27/22 0:00,River Station,Sterling,CO,80751,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,15,3/28/22 0:00,,,,,Other,7657 ∑ Vehicle Tolls And Parking
Senate District 01,"Pelton, Byron",Republican,85.13,3/30/22 0:00,Love'S Travel,Brush,CO,80723,Other,7652 ∑ Vehicle Gas
Senate District 01,"Pelton, Byron",Republican,36.02,3/31/22 0:00,Signal Graphics,Sterling,CO,80751,Other,6615 ∑ Hang Cards
Senate District 01,"Pelton, Byron",Republican,4.3,4/5/22 0:00,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,"Pelton, Byron",Republican,8.3,4/9/22 0:00,Anedot,New Orleans,LA,70112,Other,7820 ∑ Merchant Account Fees
Senate District 01,"Pelton, Byron",Republican,592.23,4/12/22 0:00,Country Creations,Sterling,CO,80751,Other,6631 ∑ Apparel
Senate District 01,"Pelton, Byron",Republican,159.46,4/12/22 0:00,Personal Graphics,Sterling,CO,80751,Other,6640 ∑ Design & Layout
Senate District 01,"Pelton, Byron",Republican,254.71,4/26/22 0:00,Tammy  Klein,Fort Lupton,CO,80621,Other,6611 ∑ Letterhead & Envelopes
Senate District 03,"Hinrichsen, Nick",Democratic,52.99,1/6/22 0:00,Mailchimp,Atlanta,GA,30308,Office Equipment & Supplies,Mailchimp Activation
Senate District 03,"Hinrichsen, Nick",Democratic,25,1/6/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Premium Web Plan
Senate District 03,"Hinrichsen, Nick",Democratic,52.99,1/6/22 0:00,Mailchimp C/O The Rocket Science Group,Atlanta,GA,30308,Fundraising Expenses,Mailchimp Services
Senate District 03,"Hinrichsen, Nick",Democratic,25,1/7/22 0:00,Pueblo Chamber Of Commerce,Pueblo,CO,81003,Other,Member Fees
Senate District 03,"Hinrichsen, Nick",Democratic,6,1/8/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Email
Senate District 03,"Hinrichsen, Nick",Democratic,0.4,1/9/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,36.96,1/16/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,300,1/19/22 0:00,Heart + Mind Media,Denver,CO,80207,Consultant & Professional Services,Campaign Video Fees
Senate District 03,"Hinrichsen, Nick",Democratic,50,1/19/22 0:00,Greater Pueblo Chamber Of Commerce,Pueblo,CO,81003,Other,Legislative Breakfast Tickets
Senate District 03,"Hinrichsen, Nick",Democratic,50,1/20/22 0:00,Colorado Department Of State,Denver,CO,80290,Other,Incorporating As A Non-Profit
Senate District 03,"Hinrichsen, Nick",Democratic,100,1/20/22 0:00,Walmart Supercenter,Pueblo,CO,81005,Office Equipment & Supplies,
Senate District 03,"Hinrichsen, Nick",Democratic,43.48,1/23/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,32.54,1/30/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,300,2/1/22 0:00,Heart + Mind Media,Denver,CO,80207,Consultant & Professional Services,Campaign Video
Senate District 03,"Hinrichsen, Nick",Democratic,23.72,2/6/22 0:00,Actblue Technical Services,Somerville,MA,02144-3132,Bank Fees,
Senate District 03,"Hinrichsen, Nick",Democratic,25,2/6/22 0:00,Wix.Com,Tel Aviv,IS,6350671,Consultant & Professional Services,Premium Web Plan
Senate District 03,"Hinrichsen, Nick",Democratic,63,2/6/22 0:00,Mailchimp C/O The Rocket Science Group,Atlanta,GA,30308,Fundraising Expenses,
Senate District 03,"Hinrichsen, Nick",Democratic,133.53,2/7/22 0:00,My Friend The Printer,Pueblo,CO,81003,Fundraising Expenses,Bres
