District,candidate,Party,loan_amount,loan_date,payment_amount,payment_date,loan_balance,filed_date
House District 63,"Vance, Jessie",Republican,520,10/12/21 0:00,,,520,1/18/22 0:00
House District 18,"Snyder, Marc",Democratic,500,11/9/17 0:00,500,1/20/21 0:00,0,4/11/21 0:00
House District 24,"Patterson, William",Republican,500,3/22/22 0:00,,,500,5/2/22 0:00
House District 25,"Larson, Colin",Republican,500,1/26/21 0:00,,,500,4/15/21 0:00
House District 44,"Dodd, Terry",Republican,500,1/6/22 0:00,,,500,5/2/22 0:00
Senate District 15,"Marchman, Janice",Democratic,500,11/13/21 0:00,,,100,1/18/22 0:00
Senate District 15,"Marchman, Janice",Democratic,500,11/13/21 0:00,400,12/31/21 0:00,100,1/18/22 0:00
CU Regent District 08,"Vandriel, Mark",Republican,500,3/1/22 0:00,,,500,5/1/22 0:00
House District 44,"Dodd, Terry",Republican,480.38,3/16/22 0:00,,,480.38,5/2/22 0:00
House District 46,"Ambler, Jonathan",Republican,285.05,4/15/22 0:00,,,285.05,4/30/22 0:00
House District 63,"Vance, Jessie",Republican,278.46,1/31/22 0:00,,,278.46,5/2/22 0:00
House District 34,"Allen, Kevin",Republican,250,2/9/22 0:00,,,250,5/2/22 0:00
House District 63,"Vance, Jessie",Republican,226.24,12/31/21 0:00,,,226.24,1/18/22 0:00
House District 44,"Dodd, Terry",Republican,200,4/21/22 0:00,,,200,5/2/22 0:00
House District 63,"Vance, Jessie",Republican,187.88,11/30/21 0:00,,,187.88,1/18/22 0:00
House District 63,"Vance, Jessie",Republican,94.08,10/31/21 0:00,,,94.08,1/18/22 0:00
House District 63,"Vance, Jessie",Republican,58.24,11/30/21 0:00,,,58.24,1/18/22 0:00
House District 61,"Woolever, Dave",Republican,50,4/8/22 0:00,,,50,4/29/22 0:00
House District 63,"Vance, Jessie",Republican,10.95,12/2/21 0:00,,,10.95,1/18/22 0:00
House District 24,"Patterson, William",Republican,5,3/25/22 0:00,,,5,5/2/22 0:00
BD. ED. DISTRICT 08,"Solis, Rhonda",Democratic,5,3/4/22 0:00,,,5,5/2/22 0:00
Senate District 11,"Avila, Yolanda",Democratic,-5000,11/22/21 0:00,,,-5000,5/2/22 0:00
Governor,"Ganahl, Heidi",Republican,-50000,9/14/21 0:00,,,-50000,1/8/22 0:00
