District,candidate,Party,loan_amount,loan_date,payment_amount,payment_date,loan_balance,filed_date
Senate District 20,"Pettersen, Brittany",Democratic,1000,4/5/21 0:00,1000,12/20/21 0:00,0,1/13/22 0:00
Senate District 20,"Pettersen, Brittany",Democratic,500,5/3/21 0:00,500,12/20/21 0:00,0,1/13/22 0:00
Senate District 20,"Pettersen, Brittany",Democratic,1000,6/15/21 0:00,1000,12/20/21 0:00,0,1/13/22 0:00
Senate District 20,"Pettersen, Brittany",Democratic,1000,7/1/21 0:00,1000,12/20/21 0:00,0,1/13/22 0:00
Senate District 20,"Pettersen, Brittany",Democratic,2000,12/23/20 0:00,,,0,1/13/22 0:00
Senate District 16,"Story, Tammy",Democratic,1533.21,8/6/20 0:00,1533.21,12/27/20 0:00,0,1/15/21 0:00
House District 53,"Boesenecker, Andrew",Democratic,1500,12/14/20 0:00,1500,5/16/21 0:00,0,7/15/21 0:00
House District 53,"Boesenecker, Andrew",Democratic,1500,12/14/20 0:00,,,0,4/15/21 0:00
House District 18,"Snyder, Marc",Democratic,500,11/9/17 0:00,500,1/20/21 0:00,0,4/11/21 0:00
House District 18,"Snyder, Marc",Democratic,1000,12/1/18 0:00,1000,1/20/21 0:00,0,4/11/21 0:00
House District 18,"Snyder, Marc",Democratic,2500,12/12/18 0:00,2500,1/20/21 0:00,0,4/11/21 0:00
Governor,"Neuschwanger, Danielle",Republican,2010,11/9/21 0:00,,,0,1/18/22 0:00
Governor,"Neuschwanger, Danielle",Republican,2010,11/9/21 0:00,2010,11/11/21 0:00,0,1/18/22 0:00
Governor,"Neuschwanger, Danielle",Republican,2010,11/12/21 0:00,2010,11/12/21 0:00,0,1/18/22 0:00
Governor,"Neuschwanger, Danielle",Republican,2010,11/12/21 0:00,,,0,1/18/22 0:00
Governor,"Neuschwanger, Danielle",Republican,1095,11/18/21 0:00,,,0,1/18/22 0:00
Governor,"Neuschwanger, Danielle",Republican,1095,11/18/21 0:00,1095,11/19/21 0:00,0,1/18/22 0:00
Governor,"Ganahl, Heidi",Republican,-50000,9/14/21 0:00,,,-50000,1/8/22 0:00
